GBS.V4names,TAXA,GBS.V3names,LegacySNPsSimulatedPhenotypeNames,WGSnames,FAKEPHENO
CML322:250040178,CML322,CML322:8042MABXX:4:D7,CML322,282set_CML322,1
CML323:250039793,CML323,CML323:8042MABXX:2:H6,CML323,282set_CML323,1
CML328:250040151,CML328,CML328:8042MABXX:4:A4,CML328,282set_CML328,1
CML331:250040037,CML331,CML331:8042MABXX:3:F5,CML331,282set_CML331,1
CML332:250039821,CML332,CML332:8042MABXX:2:D10,CML332,282set_CML332,1
CML333:250039813,CML333,CML333:8042MABXX:2:D9,CML333,282set_CML333,1
CML341:250040010,CML341,CML341:8042MABXX:3:C2,CML341,282set_CML341,1
CML38:250040177,CML38,CML38:8042MABXX:4:C7,CML38,282set_CML38,1
CML45:250039776,CML45,CML45:8042MABXX:2:G4,CML45,282set_CML45,1
CML5:250040031,CML5,CML5:8042MABXX:3:H4,CML5,282set_CML5,1
CML52:250039812,CML52,CML52:8042MABXX:2:C9,CML52,282set_CML52,1
CML61:250040175,CML61,CML61:8042MABXX:4:A7,CML61,282set_CML61,1
CML69:250040131,CML69,CML69:8042MABXX:4:E1,CML69,282set_CML69,1
CML77:250040083,CML77,CML77:8042MABXX:3:D11,CML77,282set_CML77,1
CML91:250039838,CML91,CML91:8042MABXX:2:E12,CML91,282set_CML91,1
CML92:250039767,CML92,CML92:8042MABXX:2:F3,CML92,282set_CML92,1
CMV3:250040191,CMV3,CMV3:8042MABXX:4:A9,CMV3,282set_CMV3,1
CO106:250039786,CO106,CO106:8042MABXX:2:A6,CO106,282set_CO106,1
CO125:250039800,CO125,CO125:8042MABXX:2:G7,CO125,282set_CO125,1
CO255:250040207,CO255,CO255:8042MABXX:4:A11,CO255,282set_CO255,1
D940Y:250040091,D940Y,D940Y:8042MABXX:3:D12,D940Y,282set_D940Y,1
DE_2:250039746,DE_2,DE2:8042MABXX:2:A1,DE_2,282set_DE-2,1
DE_3:250039761,DE_3,DE3:8042MABXX:2:H2,DE_3,DE_3,1
DE1:250040061,DE1,DE1:8042MABXX:3:F8,DE1,282set_DE1,1
DE811:250040133,DE811,DE811:8042MABXX:4:G1,DE811,282set_DE811,1
E2558W:250040203,E2558W,E2558W:8042MABXX:4:E10,E2558W,282set_E2558W,1
EP1:250039831,EP1,EP1:8042MABXX:2:F11,EP1,282set_EP1,1
F2834T:250040042,F2834T,F2834T:8042MABXX:3:C6,F2834T,282set_F2834T,1
F44:250040153,F44,F44:8042MABXX:4:C4,F44,282set_F44,1
F6:250039789,F6,F6:8042MABXX:2:D6,F6,282set_F6,1
F7:250039830,F7,F7:8042MABXX:2:E11,F7,282set_F7,1
GA209:250040014,GA209,GA209:8042MABXX:3:G2,GA209,282set_GA209,1
GT112:250040054,GT112,GT112:8042MABXX:3:G7,GT112,282set_GT112,1
H105W:250040018,H105W,H105W:8042MABXX:3:C3,H105W,282set_H105W,1
H49:250040032,H49,H49:8042MABXX:3:A5,H49,282set_H49,1
H84:250040171,H84,H84:8042MABXX:4:E6,H84,282set_H84,1
H91:250039804,H91,H91:8042MABXX:2:C8,H91,282set_H91,1
H95:250039837,H95,H95:8042MABXX:2:D12,H95,282set_H95,1
H99:250040040,H99,H99:8042MABXX:3:A6,H99,282set_H99,1
Hi27:250040013,HI27,Hi27:8042MABXX:3:F2,HI27,282set_Hi27Goodman-Buckler,1
HP301:250040193,HP301,HP301:8042MABXX:4:C9,HP301,282set_HP301,1
Hy:250040035,HY,Hy:8042MABXX:3:D5,Ill.Hy,282set_ILLHy,1
I137TN:250039825,I137TN,I137TN:8042MABXX:2:H10,I137TN,282set_I137TN,1
I205:250040145,I205,I205:8042MABXX:4:C3,I205,282set_I205,1
I29:250039824,I-29,I29:8042MABXX:2:G10,I.29,282set_I29,1
IA2132:250040173,IA2132,IA2132:8042MABXX:4:G6,IA2132,282set_IA2132Goodman-Buckler,1
Ia5125:250040164,Ia5125,Ia5125:8042MABXX:4:F5,IA5125,282set_Ia5125,1
IDS28:250039827,IDS28,IDS28:8042MABXX:2:B11,IDS28,282set_IDS28,1
IDS69:250040148,IDS69,IDS69:8042MABXX:4:F3,IDS69,282set_IDS69,1
IDS91:250040055,IDS91,IDS91:8042MABXX:3:H7,IDS91,282set_IDS91,1
Il101:250040093,Il101,Il101:8042MABXX:3:F12,Il101,282set_Il101,1
Il14H:250040130,Il14H,Il14H:8042MABXX:4:D1,Il14H,282set_Il14H,1
Il677a:250040074,Il677a,Il677a:8042MABXX:3:C10,Il677a,282set_i1677a,1
K148:250040184,K148,K148:8042MABXX:4:B8,K148,282set_K148,1
K4:250040162,K4,K4:8042MABXX:4:D5,K4,282set_K4,1
K55:250039811,K55,K55:8042MABXX:2:B9,K55,282set_K55,1
K64:250040197,K64,K64:8042MABXX:4:G9,K64,282set_K64,1
Ki11:250039815,Ki11,Ki11:8042MABXX:2:F9,Ki11,282set_Ki11,1
Ki14:250039768,Ki14,Ki14:8042MABXX:2:G3,KI14,282set_Ki14,1
Ki2021:250040139,Ki2021,Ki2021:8042MABXX:4:E2,KUI2021,282set_Ki2021,1
Ki21:250040067,KI21,Ki21:8042MABXX:3:D9,KI21,282set_Ki21,1
Ki3:250040211,KI3,Ki3:8042MABXX:4:E11,KI3,282set_KI3,1
Ki43:250040196,Ki43,Ki43:8042MABXX:4:F9,Ki43,282set_Ki43,1
Ki44:250040152,KI44,Ki44:8042MABXX:4:B4,KI44,282set_Ki44,1
Ky21:250040003,KY21,Ky21:8042MABXX:3:D1,KY21,282set_Ky21,1
KY226:250040192,KY226,KY226:8042MABXX:4:B9,KY226,282set_KY226,1
KY228:250040205,KY228,KY228:8042MABXX:4:G10,KY228,282set_KY228,1
L317:250039769,L317,L317:8042MABXX:2:H3,L317,282set_L317,1
L578:250040048,L578,L578:8042MABXX:3:A7,L578,282set_L578,1
NA,M017,M017,NA,M017,1
M14:250039802,M14,M14:8042MABXX:2:A8,M14,282set_M14,1
M162W:250040157,M162W,M162W:8042MABXX:4:G4,M162W,282set_M162W,1
M37W:250040142,M37W,M37W:8042MABXX:4:H2,M37W,282set_M37W,1
MEF156-55-2:250040202,MEF156-55-2,MEF156552:8042MABXX:4:D10,MEF156.55.2,282set_MEF156-55-2,1
NA,MO044,MO044,NA,MO044,1
NA,MO054,MO054,NA,MO054,1
Mo17:250040134,MO17,Mo17:8042MABXX:4:H1,MO17,282set_Mo17,1
NA,Mo17_B73,Mo17_B73,NA,Mo17_B73,1
Mo18W:250040011,MO18W,Mo18W:8042MABXX:3:D2,MO18W,282set_Mo18W,1
MO1W:250040219,MO1W,MO1W:8042MABXX:4:E12,MO1W,282set_MO1W,1
Mo24W:250040043,MO24W,Mo24W:8042MABXX:3:D6,MO24W,282set_Mo24W,1
Mo44:250040050,MO44,Mo44:8042MABXX:3:C7,MO44,282set_Mo44,1
Mo45:250040213,MO45,Mo45:8042MABXX:4:G11,MO45,282set_Mo45,1
Mo46:250040028,MO46,Mo46:8042MABXX:3:E4,MO46,282set_Mo46,1
Mo47:250040136,MO47,Mo47:8042MABXX:4:B2,MO47,282set_Mo47,1
MoG:250040000,MOG,MoG:8042MABXX:3:A1,MOG,282set_MoG,1
Mp339:250040217,MP339,Mp339:8042MABXX:4:C12,MP339,282set_Mp339,1
MS1334:250040085,MS1334,MS1334:8042MABXX:3:F11,MS1334,282set_MS1334,1
MS153:250040218,MS153,MS153:8042MABXX:4:D12,MS153,282set_MS153,1
MS71:250040020,MS71,MS71:8042MABXX:3:E3,MS71,282set_Ms71,1
Mt42:250040078,MT42,Mt42:8042MABXX:3:G10,MT42,282set_Mt42,1
N192:250040210,N192,N192:8042MABXX:4:D11,N192,282set_N192,1
N28Ht:250040201,N28HT,N28Ht:8042MABXX:4:C10,N28HT,282set_N28Ht,1
N6:250040002,N6,N6:8042MABXX:3:C1,N6,282set_N6,1
N7A:250040071,N7A,N7A:8042MABXX:3:H9,N7A,282set_N7A,1
NC222:250040183,NC222,NC222:8042MABXX:4:A8,NC222,282set_NC222,1
NC230:250039771,NC230,NC230:8042MABXX:2:B4,NC230,282set_NC230,1
NC232:250040051,NC232,NC232:8042MABXX:3:D7,NC232,282set_NC232,1
NC236:250040160,NC236,NC236:8042MABXX:4:B5,NC236,282set_NC236,1
NC238:250040132,NC238,NC238:8042MABXX:4:F1,NC238,282set_NC238,1
NC250:250039748,NC250,NC250:8042MABXX:2:C1,NC250,282set_NC250,1
NC258:250040216,NC258,NC258:8042MABXX:4:B12,NC258,282set_NC258,1
NC260:250040024,NC260,NC260:8042MABXX:3:A4,NC260,282set_NC260,1
NC262:250039773,NC262,NC262:8042MABXX:2:D4,NC262,282set_NC262,1
NC264:250040075,NC264,NC264:8042MABXX:3:D10,NC264,282set_NC264,1
NC290A:250039762,NC290A,NC290A:8042MABXX:2:A3,NC290A,282set_NC290A,1
NC294:250040036,NC294,NC294:8042MABXX:3:E5,NC294,282set_NC294,1
NC296:250040053,NC296,NC296:8042MABXX:3:F7,NC296,282set_NC296,1
NC296A:250040056,NC296A,NC296A:8042MABXX:3:A8,NC296A,282set_NC296A,1
NC298:250039796,NC298,NC298:8042MABXX:2:C7,NC298,282set_NC298,1
NC300:250039807,NC300,NC300:8042MABXX:2:F8,NC300,282set_NC300,1
NC302:250040180,NC302,NC302:8042MABXX:4:F7,NC302,282set_NC302,1
NC304:250040169,NC304,NC304:8042MABXX:4:C6,NC304,282set_NC304,1
NC306:250040076,NC306,NC306:8042MABXX:3:E10,NC306,282set_NC306,1
NC310:250040065,NC310,NC310:8042MABXX:3:B9,NC310,282set_NC310,1
NC314:250040194,NC314,NC314:8042MABXX:4:D9,NC314,282set_NC314,1
NC318:250039814,NC318,NC318:8042MABXX:2:E9,NC318,282set_NC318,1
NC320:250039792,NC320,NC320:8042MABXX:2:G6,NC320,282set_NC320,1
NC324:250040069,NC324,NC324:8042MABXX:3:F9,NC324,282set_NC324,1
NC326:250040166,NC326,NC326:8042MABXX:4:H5,NC326,282set_NC326,1
NC328:250039757,NC328,NC328:8042MABXX:2:D2,NC328,282set_NC328,1
NC33:250040089,NC33,NC33:8042MABXX:3:B12,NC33,282set_NC33,1
NC336:250040052,NC336,NC336:8042MABXX:3:E7,NC336,282set_NC336,1
NC338:250039778,NC338,NC338:8042MABXX:2:A5,NC338,282set_NC338,1
NC340:250040057,NC340,NC340:8042MABXX:3:B8,NC340,282set_NC340,1
NC342:250040007,NC342,NC342:8042MABXX:3:H1,NC342,282set_NC342,1
NC344:250040004,NC344,NC344:8042MABXX:3:E1,NC344,282set_NC344,1
NC346:250040189,NC346,NC346:8042MABXX:4:G8,NC346,282set_NC346,1
NC348:250040064,NC348,NC348:8042MABXX:3:A9,NC348,282set_NC348,1
NC350:250040135,NC350,NC350:8042MABXX:4:A2,NC350,282set_NC350,1
NC352:250040179,NC352,NC352:8042MABXX:4:E7,NC352,282set_NC352,1
NC354:250040079,NC354,NC354:8042MABXX:3:H10,NC354,282set_NC354,1
NC356:250039764,NC356,NC356:8042MABXX:2:C3,NC356,282set_NC356,1
NC358:250040063,NC358,NC358:8042MABXX:3:H8,NC358,282set_NC358,1
NC360:250040155,NC360,NC360:8042MABXX:4:E4,NC360,282set_NC360,1
NC362:250040220,NC362,NC362:8042MABXX:4:F12,NC362,282set_NC362,1
NC364:250039801,NC364,NC364:8042MABXX:2:H7,NC364,282set_NC364,1
NC366:250040172,NC366,NC366:8042MABXX:4:F6,NC366,282set_NC366,1
NC368:250039784,NC368,NC368:8042MABXX:2:G5,NC368,282set_NC368,1
ND246:250040045,ND246,ND246:8042MABXX:3:F6,ND246,282set_ND246,1
Oh40B:250039805,OH40B,Oh40B:8042MABXX:2:D8,OH40B,282set_Oh40B,1
Oh43:250040141,OH43,Oh43:8042MABXX:4:G2,OH43,282set_Oh43,1
Oh43E:250039798,OH43E,Oh43E:8042MABXX:2:E7,OH43E,282set_Oh43E,1
Oh603:250039797,Oh603,Oh603:8042MABXX:2:D7,OH603,282set_Oh603,1
OH7B:250040208,OH7B,OH7B:8042MABXX:4:B11,OH7B,282set_OH7B,1
Os420:250039785,OS420,Os420:8042MABXX:2:H5,OS420,282set_Os420,1
P39:250040161,P39,P39:8042MABXX:4:C5,P39,282set_P39Goodman-Buckler,1
Pa762:250040188,PA762,Pa762:8042MABXX:4:F8,PA762,282set_Pa762,1
Pa875:250039820,PA875,Pa875:8042MABXX:2:C10,PA875,282set_Pa875,1
Pa880:250040140,PA880,Pa880:8042MABXX:4:F2,PA880,282set_Pa880,1
Pa91:250040163,PA91,Pa91:8042MABXX:4:E5,PA91,282set_Pa91,1
R109B:250039751,R109B,R109B:8042MABXX:2:F1,R109B,282set_R109B,1
R168:250039754,R168,R168:8042MABXX:2:A2,R168,282set_R168,1
R177:250040072,R177,R177:8042MABXX:3:A10,R177,282set_R177,1
R229:250040041,R229,R229:8042MABXX:3:B6,R229,282set_R229,1
R4:250040086,R4,R4:8042MABXX:3:G11,R4,282set_R4,1
SA24:250040033,SA24,SA24:8042MABXX:3:B5,SA24,282set_SA24,1
SC213R:250039803,SC213R,SC213R:8042MABXX:2:B8,SC213R,282set_SC213R,1
SC357:250040094,SC357,SC357:8042MABXX:3:G12,SC357,282set_SC357,1
SC55:250040090,SC55,SC55:8042MABXX:3:C12,SC55,282set_SC55,1
SD40:250040070,SD40,SD40:8042MABXX:3:G9,SD40,282set_SD40,1
SD44:250040030,SD44,SD44:8042MABXX:3:G4,SD44,282set_SD44,1
Sg1533:250040200,SG1533,Sg1533:8042MABXX:4:B10,SG1533,282set_Sg1533,1
Sg18:250039783,SG18,Sg18:8042MABXX:2:F5,SG18,282set_Sg18,1
T232:250040156,T232,T232:8042MABXX:4:F4,T232,282set_T232,1
T234:250040008,T234,T234:8042MABXX:3:A2,T234,282set_T234,1
T8:250040060,T8,T8:8042MABXX:3:E8,T8,282set_T8,1
Tx303:250040016,TX303,Tx303:8042MABXX:3:A3,TX303,282set_Tx303,1
Tx601:250040059,TX601,Tx601:8042MABXX:3:D8,TX601,282set_Tx601,1
Tzi10:250040038,Tzi10,Tzi10:8042MABXX:3:G5,Tzi10,282set_Tzi10,1
Tzi11:250040092,TZI11,Tzi11:8042MABXX:3:E12,TZI11,282set_Tzi11,1
Tzi16:250040058,TZI16,Tzi16:8042MABXX:3:C8,TZI16,282set_Tzi16,1
Tzi18:250040049,TZI18,Tzi18:8042MABXX:3:B7,TZI18,282set_Tzi18,1
Tzi25:250039790,TZI25,Tzi25:8042MABXX:2:E6,TZI25,282set_Tzi25,1
Tzi8:250040137,Tzi8,Tzi8:8042MABXX:4:C2,NA,282set_Tzi8,1
Tzi9:250040017,Tzi9,Tzi9:8042MABXX:3:B3,Tzi9,282set_Tzi9,1
U267Y:250040221,U267Y,U267Y:8042MABXX:4:G12,U267Y,282set_U267Y,1
VA102:250040204,VA102,VA102:8042MABXX:4:F10,VA102,282set_VA102,1
Va14:250040022,Va14,Va14:8042MABXX:3:G3,VA14,282set_Va14,1
Va17:250040077,VA17,Va17:8042MABXX:3:F10,VA17,282set_Va17,1
Va22:250039835,VA22,Va22:8042MABXX:2:B12,VA22,282set_Va22,1
Va26:250040214,Va26,Va26:8042MABXX:4:H11,Va26,282set_Va26,1
Va35:250039799,VA35,Va35:8042MABXX:2:F7,VA35,282set_Va35,1
Va59:250039780,VA59,Va59:8042MABXX:2:C5,VA59,282set_Va59,1
Va85:250040165,VA85,Va85:8042MABXX:4:G5,VA85,282set_Va85,1
Va99:250039826,VA99,Va99:8042MABXX:2:A11,VA99,282set_Va99,1
VaW6:250040082,VAW6,VaW6:8042MABXX:3:C11,VAW6,282set_VaW6,1
W117Ht:250039774,W117HT,W117Ht:8042MABXX:2:E4,W117HT,282set_W117Ht,1
