taxa,GBSv4names,WGStaxa,GDDDaystoSilk,GDDDaystoTassel,TasselLength,MainSpikeLength,TasselPrimaryBranches,TasselBranchLength,SpikeletsMainSpike,SpikeletsPrimaryBranch,SecondaryBranchNumber,EarHeight,LeafLength,LeafWidth,UpperLeafAngle,MiddleLeafAngle,CobDiameter,CobWeight,EarDiameter,EarLength,SeedSetLength,EarRowNumber,EarWeight,EarRankNumber,KernelWeight20
Z003E0001,#N/A,#N/A,455.6010348,925.4901661,15.44809767,346.4870966,5.487854441,-0.33333158,-0.376403432,-0.155281428,178.6175219,147.858963,83.38851626,730.2572023,0.938685887,0.248408873,60.76036031,10.55981246,0.170376849,23.64692659,0.936235694,32.62246724,131.8057045,92.58725953,0.304892257
Z003E0002,#N/A,#N/A,469.8126956,961.6045185,8.630081634,346.8295695,5.457483012,-0.448470388,-0.340371973,-0.698418888,176.4105179,161.4835719,95.75909971,799.4375615,1.442301844,0.256187806,59.41257641,11.17800483,0.168434317,22.65741414,0.267940919,31.40424694,112.0452752,78.33895855,-0.501656524
Z003E0003,#N/A,#N/A,453.3294632,969.4895564,19.13484827,347.5188725,5.466006516,0.061042181,-0.106340028,-0.025087262,177.6143383,134.70395,72.6842971,774.1076541,0.865998304,-0.099386108,59.36007539,11.18333317,0.169289803,22.57171461,0.182797961,28.55987281,120.6471075,86.6996197,-0.179737015
Z003E0004,#N/A,#N/A,465.0157754,942.123347,21.77084724,333.4456037,5.467888173,-0.076863598,-0.460680498,0.070260022,180.8245259,172.7610594,102.7929893,706.0773296,0.941387377,0.429218895,61.38581061,10.34543427,0.169128201,22.12650489,0.330693643,32.29361239,136.6779609,89.25913392,0.011014807
Z003E0005,#N/A,#N/A,454.8465137,930.5810475,16.72968043,338.557934,5.514902618,0.022655252,-0.142576785,0.398173459,176.6111546,150.8472146,85.67139544,681.0978359,0.541014201,0.691104569,61.39019642,10.66607008,0.170973672,22.1634236,0.089305497,30.90779821,120.1749184,84.05814038,0.197991878
Z003E0006,#N/A,#N/A,437.9109216,959.8187434,16.62141089,354.4480609,5.462844127,0.035479606,-0.376403432,-0.330978361,197.4773741,184.7140657,113.6366654,757.0875582,1.204450374,0.282493036,61.86480707,9.65485574,0.169561301,21.50195859,0.264282051,29.8031677,135.1744422,94.03997338,-0.908905695
Z003E0007,#N/A,#N/A,448.9491068,913.7350006,27.62409917,311.3304671,5.438106841,-0.702598594,-0.2785569,-0.833447672,168.3850489,127.9372859,68.8351615,697.1668088,0.661610001,0.221196145,59.12750926,10.97144425,0.172827181,22.92332261,0.642375973,32.38661304,130.1803781,86.84423948,0.714313899
Z003E0008,#N/A,#N/A,458.8794647,936.8063213,18.17317305,323.5081527,5.313156078,0.367574033,0.47084463,0.239483685,173.8022405,140.3883341,74.25699955,708.2298711,0.050470562,-0.783161104,60.46452544,10.6305268,0.169330634,21.77754723,0.205770916,28.32119558,137.0869322,87.17262767,-0.738517523
Z003E0009,#N/A,#N/A,421.6552662,875.6169088,23.24276994,319.4872188,5.438664232,-0.510363936,-0.283004968,-0.123711219,171.7958732,153.8354661,87.95427462,717.2405101,0.339859691,0.051649561,60.07728204,10.40846435,0.168117466,22.50475327,0.286393068,32.50293964,118.2080836,82.37904301,-0.152262845
Z003E0010,#N/A,#N/A,454.6944271,914.8639215,17.70844329,305.7011596,5.412868462,-0.209172203,-0.460680498,-0.169904541,173.8022405,144.3726695,81.10563708,627.3053353,1.022385934,0.419506511,59.69444005,11.83838322,0.169894262,23.38409914,0.512377749,31.95383142,124.2007402,88.63101997,-0.032148732
Z003E0011,#N/A,#N/A,460.3114624,935.245645,33.97501994,363.5449077,5.577329348,-0.313876094,-0.106340028,-0.24459192,194.2671865,154.0776949,82.40661998,731.9078281,0.096239449,0.585060836,61.72070872,9.945364555,0.171709028,22.2553752,0.726107433,33.82538541,129.4921163,85.60388763,-0.354305761
Z003E0012,#N/A,#N/A,432.0094755,916.5217673,14.10113786,348.5067178,5.531145909,-0.819883857,-0.726031466,-1.018484916,185.840444,166.0331416,94.44474573,736.7635613,0.39207909,-0.003406603,60.80589174,10.28079485,0.171380848,22.78435381,0.524459816,35.28026604,136.2225934,96.67468171,0.751422826
Z003E0013,#N/A,#N/A,471.7029654,959.9893804,23.61193373,342.1467533,5.516104029,-1.033299784,-0.73260907,-0.306896289,175.2066975,163.8205846,90.57919805,744.6228409,1.375418213,0.227580302,62.32685255,9.361011079,0.170125515,23.5970154,0.224081044,31.15725069,130.6088509,81.03582448,-0.217049022
Z003E0014,#N/A,#N/A,445.9477841,907.4380224,30.01414559,335.4560707,5.469690365,-0.739978803,-0.449340897,-0.221349411,191.0569989,148.3570049,74.25699955,693.1120212,0.502242519,0.098624367,60.03357825,10.07196555,0.166425191,21.41380998,0.295472259,32.98346965,140.5339361,96.37151689,0.04111135
Z003E0015,#N/A,#N/A,462.8634135,973.6543484,15.22543866,299.7272006,5.330974154,-0.371096207,-0.220594722,-0.472570209,178.4168852,144.3726695,79.3934777,738.3654527,0.109998724,-0.001465879,58.76131942,11.99221957,0.172578454,21.1658665,-0.323812005,27.9816694,125.9323418,91.65876373,-0.997132869
Z003E0016,#N/A,#N/A,474.5019485,1009.395098,5.406364623,383.8221616,5.549704041,0.173726851,0.289958108,-0.068391726,176.0092444,150.2349354,93.3062174,677.5436394,-0.760800594,-0.454482301,59.88856845,11.31806065,0.170623203,19.53666954,-0.829857671,27.27032292,110.9599298,77.97694856,-0.434838785
Z003E0017,#N/A,#N/A,462.3515731,942.8365648,14.62069162,308.5732553,5.302234962,-0.375496404,-0.542739361,-0.568078791,174.8054241,146.8628791,78.82275791,729.3548137,-0.106080897,0.325761973,61.83792191,10.70771144,0.171310077,22.48507152,0.096829011,29.84475717,135.1794919,83.84885534,-0.544325185
Z003E0018,#N/A,#N/A,465.7450628,1000.888256,8.960774727,300.1936693,5.21683207,-0.090550918,-0.283004968,0.157149724,176.4105179,169.7728078,92.52003298,748.4477332,0.881961166,0.620402482,60.2474735,11.03428949,0.169142871,23.79543472,1.092268226,33.32084228,132.449265,93.25550928,-0.295414981
Z003E0019,#N/A,#N/A,458.5785501,900.0955847,25.22761027,351.137713,5.56200205,-0.365065005,0.105399207,0.070260022,178.4168852,134.4118309,70.26196099,711.7840676,1.279723025,0.10427837,60.5782352,10.71946555,0.168291083,23.78734103,0.112130036,33.38310743,125.2781762,82.81275813,-0.369908177
Z003E0020,#N/A,#N/A,461.90834,963.6975258,33.38799078,297.7006365,5.369000994,-0.422570256,-0.283004968,-0.764521333,177.814975,137.1941596,70.97213772,681.648486,0.694613105,0.758052103,60.36587111,10.992243,0.169087904,23.21994287,0.547053381,30.89118264,118.2079301,78.47453772,0.367044119
Z003E0021,#N/A,#N/A,462.0368543,927.3054102,37.81126938,345.8927611,5.519422517,-0.44470569,-0.542739361,-0.472570209,184.3925281,119.6552705,55.76964091,700.8764871,0.235311227,0.203745892,60.65126827,9.75384789,0.170298084,22.11968127,0.664452106,30.92379124,117.485959,86.17908255,-0.423450319
Z003E0022,#N/A,#N/A,451.1528897,925.1166123,14.88707102,345.261838,5.474995167,0.15929862,-0.022799534,-0.306896289,175.8086077,154.9703569,86.06939241,738.966162,0.146761522,-0.003406603,61.16958776,10.40187121,0.170378372,22.8225221,0.446827768,32.04489865,112.3709402,78.20208085,0.647762654
Z003E0023,#N/A,#N/A,472.0312382,1003.471519,47.06824368,298.6932462,5.262001992,0.266235548,-0.142576785,0.134822935,170.1907794,169.952868,92.11165895,778.0977424,-0.377053328,0.133812262,59.05516712,10.74456894,0.1691616,21.8114477,-0.155456794,28.63007398,115.8479508,84.19581939,-1.069321204
Z003E0024,#N/A,#N/A,454.3371369,924.1923416,15.87486856,365.3508573,5.56547571,-0.379189837,-0.506889359,-1.281474295,181.6270728,140.886376,79.3934777,762.1435279,1.001377028,0.181671786,61.58642299,10.55740618,0.17089906,22.02372727,-0.160857831,31.53536106,116.7321582,82.33063567,-0.420783025
Z003E0025,#N/A,#N/A,457.0760258,936.2967681,13.39515934,323.3932689,5.434013513,0.632368362,0.262239158,0.797241124,180.4232524,165.4008609,99.8231063,748.383256,0.208053756,-0.521765024,61.51984492,10.47945412,0.169590232,21.58651542,-0.625661252,29.35163591,128.3477242,88.38014562,0.003417698
Z003E0026,#N/A,#N/A,442.1751124,898.9477798,3.871720998,324.7105005,5.409314969,-0.393884309,0.064938034,-0.531666023,167.7831387,142.5619568,81.94196261,697.2138525,0.37895569,0.454989359,59.04592418,10.73044978,0.170238993,22.73811993,0.354174128,32.68366166,129.2984674,83.36451103,-0.60667923
Z003E0027,#N/A,#N/A,454.4060544,944.3812728,-5.398953894,293.3257071,5.321970079,-0.681384362,-1.082237104,-0.717227942,184.8372604,134.4118309,73.68627975,645.3556345,0.886793891,0.734228332,60.68898381,10.87148146,0.169780962,21.42964722,-0.454253814,26.35823706,120.9222711,71.73852516,-1.172736904
Z003E0028,#N/A,#N/A,466.1114072,1021.128606,11.27406174,337.9835149,5.427675083,0.146572597,-0.116197998,-0.116688661,191.6589091,151.5270657,91.24929408,767.2501781,1.447455049,0.418195061,60.02199998,10.53972288,0.169338238,21.22006549,0.023426826,28.21500972,123.1022756,83.92764093,-0.612933083
Z003E0029,#N/A,#N/A,461.4048382,944.1310087,17.99305401,316.040704,5.373318869,0.906670231,0.383107062,0.499241166,181.4264361,135.4079148,83.95923606,786.1718986,0.26302494,0.040145512,60.6992914,10.81734581,0.169779658,23.63248686,0.854032968,33.41502239,136.4150115,88.28969592,0.367029108
